DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2000-0021-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Crittenden, Daviess, Webster districts (Kentucky province)",,,No,No,No,,,Kph,,,,2000,1,2,2000,1,4,1,12,,150,162,,,200500,354778,210000,371587,56.51429056,"[{""adm2_code"":29698,""adm2_name"":""Crittenden""},{""adm2_code"":29700,""adm2_name"":""Daviess""},{""adm2_code"":29787,""adm2_name"":""Webster""}]",2003-07-01,2023-09-25
2000-0067-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Bullock, Montgomery districts (Alabama province), Colquitt, Grady, Mitchell, Thomas, Tift districts (Georgia province), Washington district (Floride province), Lonoke, Prairie, Saline districts (Arkansas province)",,,No,No,No,,249,Kph,,,,2000,2,13,2000,2,14,22,100,900,,1000,,,,,,,56.51429056,"[{""adm2_code"":28696,""adm2_name"":""Bullock""},{""adm2_code"":28741,""adm2_name"":""Montgomery""},{""adm2_code"":28832,""adm2_name"":""Lonoke""},{""adm2_code"":28848,""adm2_name"":""Prairie""},{""adm2_code"":28851,""adm2_name"":""Saline""},{""adm2_code"":29064,""adm2_name"":""Washington""},{""adm2_code"":29099,""adm2_name"":""Colquitt""},{""adm2_code"":29107,""adm2_name"":""Decatur""},{""adm2_code"":29129,""adm2_name"":""Grady""},{""adm2_code"":29165,""adm2_name"":""Mitchell""},{""adm2_code"":29200,""adm2_name"":""Thomas""},{""adm2_code"":29201,""adm2_name"":""Tift""}]",2005-04-24,2023-09-25
2000-0080-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Kentucky, Ohio provinces",Heavy rain,"Slide (land, mud, snow, rock)",No,No,No,,55000,Km2,,,"Licking River, Ohio River, Scioto River",2000,2,18,2000,2,22,3,,231,,231,,,,,,,56.51429056,"[{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3249,""adm1_name"":""Ohio""}]",2005-09-16,2023-09-25
2000-0128-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Gainesville, Alachua areas (Alachua district, Florida province), Lafayette, Gulf districts (Florida province)",,,No,No,No,,113,Km2,,,,2000,2,26,2000,2,26,,,600,,600,,,,,,,56.51429056,"[{""adm2_code"":28998,""adm2_name"":""Alachua""},{""adm2_code"":29019,""adm2_name"":""Gulf""},{""adm2_code"":29030,""adm2_name"":""Lafayette""}]",2003-07-01,2023-09-25
2000-0175-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Fort Worth Texas city (Tarrant district, Texas province), Reagan, Burleson districts (Texas province)",,,No,No,No,,,Kph,,,,2000,3,28,2000,3,28,5,,3000,300,3300,,,,,450000,796259,56.51429056,"[{""adm2_code"":31225,""adm2_name"":""Burleson""},{""adm2_code"":31391,""adm2_name"":""Reagan""},{""adm2_code"":31419,""adm2_name"":""Tarrant""}]",2003-07-01,2023-09-25
2000-0232-USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,USA,United States of America,Northern America,Americas,"Franklin, Jefferson districts (Missouri province)",Brief torrential rain,,No,No,No,,,Km2,,,"Flat Creek, Bourbeuse, Big and Meramec rivers",2000,5,6,2000,5,9,2,,,2000,2000,,,,,,,56.51429056,"[{""adm2_code"":30196,""adm2_name"":""Franklin""},{""adm2_code"":30210,""adm2_name"":""Jefferson""}]",2005-09-16,2023-09-25
2000-0240-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Los Alamos, Rio Arriba, Sandoval, Santa Fe districts (New Mexico province)",,,No,No,No,,194,Km2,,,,2000,5,,2000,9,,,,25000,400,25400,,,200500,354778,1500000,2654196,56.51429056,"[{""adm2_code"":30487,""adm2_name"":""Los Alamos""},{""adm2_code"":30493,""adm2_name"":""Rio Arriba""},{""adm2_code"":30497,""adm2_name"":""Sandoval""},{""adm2_code"":30498,""adm2_name"":""Santa Fe""}]",2006-08-15,2023-09-25
2000-0271-USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,USA,United States of America,Northern America,Americas,Oklahoma province,Brief torrential rain,,No,No,No,,,Km2,,,"Polecat Creek, Bird Creek, Neosho River, and Caney River",2000,5,6,2000,5,9,1,,300,,300,,,,,,,56.51429056,"[{""adm1_code"":3250,""adm1_name"":""Oklahoma""}]",2005-09-16,2023-09-25
2000-0279-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,Sarasota district (Florida province),,,No,No,No,,16,Km2,,,,2000,5,14,2000,5,14,,,,,,,,,,,,56.51429056,"[{""adm2_code"":29053,""adm2_name"":""Sarasota""}]",2003-07-01,2023-09-25
2000-0296-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,USA,United States of America,Northern America,Americas,Liberty district (Texas province),,,No,No,No,,,Km2,,,,2000,5,19,2000,5,19,,,240,,240,,,,,,,56.51429056,"[{""adm2_code"":31345,""adm2_name"":""Liberty""}]",2003-07-01,2023-09-25
2000-0297-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,USA,United States of America,Northern America,Americas,"Franklin, Jefferson, Gasconade districts (Missouri province)",,,No,No,No,,,Km2,,,,2000,5,23,2000,5,23,2,,300,,300,,,,,100000,176946,56.51429056,"[{""adm2_code"":30196,""adm2_name"":""Franklin""},{""adm2_code"":30197,""adm2_name"":""Gasconade""},{""adm2_code"":30210,""adm2_name"":""Jefferson""}]",2003-07-01,2023-09-25
2000-0338-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Adams, Columbia, Crawford, Dane, Dodge, Grant, Green, Iowa, Juneau, La crosse, Lafayette, Monroe, Richland, Rock, Sauk, Vernon districts (Wisconsin province)",,,No,No,No,,,Kph,,,,2000,5,26,2000,5,26,,,,,,,,,,28500,50430,56.51429056,"[{""adm2_code"":31724,""adm2_name"":""Adams""},{""adm2_code"":31734,""adm2_name"":""Columbia""},{""adm2_code"":31735,""adm2_name"":""Crawford""},{""adm2_code"":31736,""adm2_name"":""Dane""},{""adm2_code"":31737,""adm2_name"":""Dodge""},{""adm2_code"":31745,""adm2_name"":""Grant""},{""adm2_code"":31746,""adm2_name"":""Green""},{""adm2_code"":31748,""adm2_name"":""Iowa""},{""adm2_code"":31752,""adm2_name"":""Juneau""},{""adm2_code"":31755,""adm2_name"":""La Crosse""},{""adm2_code"":31756,""adm2_name"":""Lafayette""},{""adm2_code"":31765,""adm2_name"":""Monroe""},{""adm2_code"":31776,""adm2_name"":""Richland""},{""adm2_code"":31777,""adm2_name"":""Rock""},{""adm2_code"":31779,""adm2_name"":""Sauk""},{""adm2_code"":31786,""adm2_name"":""Vernon""}]",2003-07-01,2023-09-25
2000-0360-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Anderson, Benton, Cheatham, Davidson, Henry, Hickman, Houston, Jackson, Knox, Lake, Obion, Perry, Pickett, Stewart districts (Tennessee province)",,,No,No,No,,,Kph,,,,2000,5,23,2000,5,23,,,,,,,,,,,,56.51429056,"[{""adm2_code"":31105,""adm2_name"":""Anderson""},{""adm2_code"":31107,""adm2_name"":""Benton""},{""adm2_code"":31115,""adm2_name"":""Cheatham""},{""adm2_code"":31123,""adm2_name"":""Davidson""},{""adm2_code"":31144,""adm2_name"":""Henry""},{""adm2_code"":31145,""adm2_name"":""Hickman""},{""adm2_code"":31146,""adm2_name"":""Houston""},{""adm2_code"":31148,""adm2_name"":""Jackson""},{""adm2_code"":31151,""adm2_name"":""Knox""},{""adm2_code"":31152,""adm2_name"":""Lake""},{""adm2_code"":31170,""adm2_name"":""Obion""},{""adm2_code"":31172,""adm2_name"":""Perry""},{""adm2_code"":31173,""adm2_name"":""Pickett""},{""adm2_code"":31185,""adm2_name"":""Stewart""}]",2003-07-01,2023-09-25
2000-0363-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Park, Jefferson, Larimer districts (Colorado province)",,,No,No,No,,85,Km2,,,,2000,6,12,2000,6,12,,,800,210,1010,,,,,,,56.51429056,"[{""adm2_code"":28957,""adm2_name"":""Larimer""},{""adm2_code"":28969,""adm2_name"":""Park""},{""adm2_code"":154741,""adm2_name"":""Jefferson""}]",2003-07-01,2023-09-25
2000-0406-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Hanford area (Benton district, Washington province)",,,No,No,No,,607,Km2,,,,2000,6,27,2000,6,27,,2,8000,75,8077,,,,,,,56.51429056,"[{""adm2_code"":31632,""adm2_name"":""Benton""}]",2003-07-01,2023-09-25
2000-0420-CAN,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,CAN,Canada,Northern America,Americas,"Pine Lake area (Division No. 8 district, Alberta province)",,,No,No,No,,300,Kph,,,,2000,7,14,2000,7,14,11,140,,700,840,,,10000,17695,13000,23003,56.51429056,"[{""adm2_code"":12527,""adm2_name"":""Division No.  8""}]",2005-07-09,2023-09-25
2000-0433-USA,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,USA,United States of America,Northern America,Americas,"Texas, Louisiana, Alabama provinces",,,No,No,No,,38,°C,,,,2000,7,,2000,7,,35,,,,,,,,,,,56.51429056,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2003-07-01,2023-09-25
2000-0450-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,Alaska province,,,No,No,No,,2363,Km2,,,,2000,7,,2000,7,,,,,,,,,,,,,56.51429056,"[{""adm1_code"":3215,""adm1_name"":""Alaska""}]",2003-07-01,2023-09-25
2000-0463-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Granite Falls city (Yellow Medicine, Minnesota province)",,,No,No,No,,,Kph,,,,2000,7,25,2000,7,25,1,15,900,120,1035,,,,,8100,14333,56.51429056,"[{""adm2_code"":30078,""adm2_name"":""Yellow Medicine""}]",2003-07-01,2023-09-25
2000-0465-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Arizona, California, Colorado, Idaho, Montana, Nevada, New Mexico, Oregon, South Dakota, Texas, Utah, Washington, Wyoming, Florida, North Dakota provinces",,,No,No,No,,680000,Km2,,,,2000,7,,2000,8,,14,,1000,,1000,,,,,1000000,1769464,56.51429056,"[{""adm1_code"":3216,""adm1_name"":""Arizona""},{""adm1_code"":3218,""adm1_name"":""California""},{""adm1_code"":3219,""adm1_name"":""Colorado""},{""adm1_code"":3223,""adm1_name"":""Florida""},{""adm1_code"":3226,""adm1_name"":""Idaho""},{""adm1_code"":3240,""adm1_name"":""Montana""},{""adm1_code"":3242,""adm1_name"":""Nevada""},{""adm1_code"":3245,""adm1_name"":""New Mexico""},{""adm1_code"":3248,""adm1_name"":""North Dakota""},{""adm1_code"":3251,""adm1_name"":""Oregon""},{""adm1_code"":3255,""adm1_name"":""South Dakota""},{""adm1_code"":3257,""adm1_name"":""Texas""},{""adm1_code"":3258,""adm1_name"":""Utah""},{""adm1_code"":3261,""adm1_name"":""Washington""},{""adm1_code"":3264,""adm1_name"":""Wyoming""}]",2007-08-27,2023-09-25
2000-0500-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Morris, Sussex districts (New Jersey province)",Heavy rain,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2000,8,12,2000,8,14,,,175,,175,,,,,166000,293731,56.51429056,"[{""adm2_code"":30464,""adm2_name"":""Morris""},{""adm2_code"":30469,""adm2_name"":""Sussex""}]",2006-02-23,2023-09-25
2000-0502-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,USA,United States of America,Northern America,Americas,Pennsylvania province,,,No,No,No,,,Km2,,,,2000,7,30,2000,7,30,,,300,,300,,,,,,,56.51429056,"[{""adm1_code"":3252,""adm1_name"":""Pennsylvania""}]",2003-07-01,2023-09-25
2000-0598-USA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009zmm,,USA,United States of America,Northern America,Americas,"Near Yountville city (Napa district, California province)",,,No,No,No,,4.9,Moment Magnitude,38.3788333,-122.4133333,,2000,9,3,2000,9,3,,70,25000,104,25174,,,,,50000,88473,56.51429056,"[{""adm2_code"":28892,""adm2_name"":""Napa""}]",2005-04-17,2023-09-25
2000-0614-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Xenia city (Greene district, Ohio province)",,,No,No,No,,,Kph,,,,2000,9,20,2000,9,20,1,115,,,115,,,62500,110591,90000,159252,56.51429056,"[{""adm2_code"":30748,""adm2_name"":""Greene""}]",2003-07-01,2023-09-25
2000-0652-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Leslie,USA,United States of America,Northern America,Americas,"Miami-Dade, Monroe, Broward, Collier districts (Florida province)",,,No,No,No,,,Kph,,,,2000,10,4,2000,10,4,2,,14418,3015,17433,,,,,219000,387513,56.51429056,"[{""adm2_code"":29003,""adm2_name"":""Broward""},{""adm2_code"":29008,""adm2_name"":""Collier""},{""adm2_code"":29040,""adm2_name"":""Miami-Dade""},{""adm2_code"":29041,""adm2_name"":""Monroe""}]",2003-07-01,2023-09-25
2000-0756-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,USA,United States of America,Northern America,Americas,"Buffalo city (Erie district, New York province)",,,No,No,No,,,Kph,,,,2000,11,20,2000,11,20,,,,,,,,,,,,56.51429056,"[{""adm2_code"":30519,""adm2_name"":""Erie""}]",2003-07-01,2023-09-25
